timestamp;cycle;product_id;product_index;current_price;previous_price;change_amount;change_percentage;change_status;significance;url
2026-01-11 21:11:09;1;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:11:12;1;09d338d669;3;157.0;;;;new;;https://www.ozon.ru/product/snezhkolep-1782169085/
2026-01-11 21:11:16;1;d676009471;4;95.0;;;;new;;https://www.ozon.ru/product/vpityvayushchaya-igrushka-osminog-dlya-kupaniya-rebenka-2972852955/
2026-01-11 21:11:21;1;83b926005d;5;229.0;;;;new;;https://www.ozon.ru/product/snezhkolep-medved-zheltyy-823735886/
2026-01-11 21:11:24;1;502136570c;6;18052.0;;;;new;;https://www.ozon.ru/product/xiaomi-planshet-redmi-pad-2-wifi-bez-sim-11-8-gb-256-gb-temno-seryy-2235200745/
2026-01-11 21:11:29;1;07805bea2a;7;9396.0;;;;new;;https://www.ozon.ru/product/keenetic-router-sprinter-kn-3711-1716072512/
2026-01-11 21:11:32;1;d427c235e3;8;24020.0;;;;new;;https://www.ozon.ru/product/videodomofon-dlya-kvartiry-s-wifi-tantos-neo-hd-se-tuya-black-komplekt-s-zapisyu-3002146675/
2026-01-11 21:11:36;1;acacce754f;9;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 21:11:42;1;df62733c67;11;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 21:11:47;1;9f3abdcd96;12;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 21:11:51;1;f7c8e84536;13;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:18:30;1;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 21:18:34;1;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:18:38;1;09d338d669;3;157.0;157.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-1782169085/
2026-01-11 21:18:41;1;d676009471;4;95.0;95.0;;;no_change;;https://www.ozon.ru/product/vpityvayushchaya-igrushka-osminog-dlya-kupaniya-rebenka-2972852955/
2026-01-11 21:18:45;1;83b926005d;5;229.0;229.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-medved-zheltyy-823735886/
2026-01-11 21:18:48;1;502136570c;6;18052.0;18052.0;;;no_change;;https://www.ozon.ru/product/xiaomi-planshet-redmi-pad-2-wifi-bez-sim-11-8-gb-256-gb-temno-seryy-2235200745/
2026-01-11 21:18:51;1;07805bea2a;7;9396.0;9396.0;;;no_change;;https://www.ozon.ru/product/keenetic-router-sprinter-kn-3711-1716072512/
2026-01-11 21:18:54;1;d427c235e3;8;24020.0;24020.0;;;no_change;;https://www.ozon.ru/product/videodomofon-dlya-kvartiry-s-wifi-tantos-neo-hd-se-tuya-black-komplekt-s-zapisyu-3002146675/
2026-01-11 21:18:59;1;acacce754f;9;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
